Date,Quarter,Top,Left,Result,Player,Distance (ft),ShotType
Oct 29,1,155,123,miss,Kobe Bryant,16.0,2-pointer
Oct 29,1,139,120,make,Kobe Bryant,15.0,2-pointer
Oct 29,1,127,281,miss,Kobe Bryant,9.0,2-pointer
Oct 29,1,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,1,101,278,miss,Kobe Bryant,6.0,2-pointer
Oct 29,1,80,95,miss,Kobe Bryant,15.0,2-pointer
Oct 29,1,50,240,make,Kobe Bryant,0.0,2-pointer
Oct 29,1,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,1,50,178,make,Kobe Bryant,6.0,2-pointer
Oct 29,1,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,2,229,279,miss,Kobe Bryant,18.0,2-pointer
Oct 29,2,113,225,miss,Kobe Bryant,6.0,2-pointer
Oct 29,2,152,370,make,Kobe Bryant,17.0,2-pointer
Oct 29,2,86,215,make,Kobe Bryant,4.0,2-pointer
Oct 29,2,86,325,miss,Kobe Bryant,9.0,2-pointer
Oct 29,3,68,174,miss,Kobe Bryant,7.0,2-pointer
Oct 29,3,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,3,132,304,miss,Kobe Bryant,10.0,2-pointer
Oct 29,3,206,278,make,Kobe Bryant,16.0,2-pointer
Oct 29,3,219,87,miss,Kobe Bryant,23.0,2-pointer
Oct 29,3,50,240,make,Kobe Bryant,0.0,2-pointer
Oct 29,3,228,322,make,Kobe Bryant,20.0,2-pointer
Oct 29,4,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,4,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,4,103,294,miss,Kobe Bryant,8.0,2-pointer
Oct 29,4,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,4,239,407,miss,Kobe Bryant,25.0,3-pointer
Oct 29,4,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 29,4,193,18,make,Kobe Bryant,26.0,3-pointer
Oct 30,1,50,240,miss,Kobe Bryant,0.0,2-pointer
Oct 30,1,182,306,make,Kobe Bryant,15.0,2-pointer
Oct 30,1,50,414,miss,Kobe Bryant,17.0,2-pointer
Oct 30,1,292,289,make,Kobe Bryant,25.0,3-pointer
Oct 30,1,50,240,make,Kobe Bryant,0.0,2-pointer
Oct 30,1,50,240,make,Kobe Bryant,0.0,2-pointer
Oct 30,2,264,240,miss,Kobe Bryant,21.0,2-pointer
Oct 30,2,231,403,miss,Kobe Bryant,24.0,3-pointer
Oct 30,2,57,409,miss,Kobe Bryant,17.0,2-pointer
Oct 30,2,113,440,miss,Kobe Bryant,21.0,2-pointer
Oct 30,2,200,435,make,Kobe Bryant,25.0,3-pointer
Oct 30,2,223,68,miss,Kobe Bryant,24.0,3-pointer
Oct 30,3,50,240,make,Kobe Bryant,0.0,2-pointer
Oct 30,3,50,240,make,Kobe Bryant,0.0,2-pointer
Oct 30,3,277,360,make,Kobe Bryant,26.0,3-pointer
Oct 30,3,203,26,miss,Kobe Bryant,26.0,3-pointer
Oct 30,3,242,41,miss,Kobe Bryant,28.0,3-pointer
Oct 30,4,58,148,make,Kobe Bryant,9.0,2-pointer
Nov 1,1,195,135,make,Kobe Bryant,18.0,2-pointer
Nov 1,1,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 1,1,50,240,miss,Kobe Bryant,0.0,2-pointer
Nov 1,1,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 1,1,68,422,make,Kobe Bryant,18.0,2-pointer
Nov 1,2,300,141,miss,Kobe Bryant,27.0,3-pointer
Nov 1,2,259,292,make,Kobe Bryant,22.0,2-pointer
Nov 1,3,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 1,3,119,235,make,Kobe Bryant,7.0,2-pointer
Nov 1,3,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 1,3,124,238,miss,Kobe Bryant,7.0,2-pointer
Nov 1,3,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 1,4,251,81,make,Kobe Bryant,26.0,3-pointer
Nov 1,4,213,248,miss,Kobe Bryant,16.0,2-pointer
Nov 3,1,236,71,make,Kobe Bryant,25.0,3-pointer
Nov 3,1,172,330,miss,Kobe Bryant,15.0,2-pointer
Nov 3,2,228,358,make,Kobe Bryant,21.0,2-pointer
Nov 3,2,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 3,3,177,64,make,Kobe Bryant,22.0,2-pointer
Nov 3,3,141,292,make,Kobe Bryant,10.0,2-pointer
Nov 3,3,114,473,miss,Kobe Bryant,24.0,3-pointer
Nov 3,3,57,426,miss,Kobe Bryant,19.0,2-pointer
Nov 3,4,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 3,4,310,219,make,Kobe Bryant,26.0,3-pointer
Nov 3,4,246,237,make,Kobe Bryant,20.0,2-pointer
Nov 3,4,308,338,miss,Kobe Bryant,28.0,3-pointer
Nov 3,4,226,281,make,Kobe Bryant,18.0,2-pointer
Nov 3,4,297,279,miss,Kobe Bryant,25.0,3-pointer
Nov 3,4,50,240,miss,Kobe Bryant,0.0,2-pointer
Nov 3,4,50,240,make,Kobe Bryant,0.0,2-pointer
Nov 3,1,60,317,miss,Kobe Bryant,8.0,2-pointer
Nov 3,1,279,89,miss,Kobe Bryant,27.0,3-pointer
Nov 3,1,50,240,make,Kobe Bryant,0.0,2-pointer
