Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 18,1,Missed 2-pointer from 13 ft,103,122,miss,Joel Embiid,13.0
Oct 18,1,Missed 3-pointer from 27 ft,294,356,miss,Joel Embiid,27.0
Oct 18,2,Made 2-pointer from 18 ft,228,247,make,Joel Embiid,18.0
Oct 18,2,Missed 3-pointer from 28 ft,271,66,miss,Joel Embiid,28.0
Oct 18,2,Made 3-pointer from 26 ft,279,373,make,Joel Embiid,26.0
Oct 18,2,Missed 2-pointer from 5 ft,97,268,miss,Joel Embiid,5.0
Oct 18,2,Made 2-pointer from 7 ft,118,275,make,Joel Embiid,7.0
Oct 18,3,Made 2-pointer from 17 ft,198,331,make,Joel Embiid,17.0
Oct 18,3,Missed 3-pointer from 26 ft,261,91,miss,Joel Embiid,26.0
Oct 18,3,Made 2-pointer from 18 ft,138,86,make,Joel Embiid,18.0
Oct 18,3,Missed 3-pointer from 25 ft,248,395,miss,Joel Embiid,25.0
Oct 18,3,Made 2-pointer from 5 ft,102,227,make,Joel Embiid,5.0
Oct 18,4,Missed 3-pointer from 27 ft,305,147,miss,Joel Embiid,27.0
Oct 18,4,Made 2-pointer from 2 ft,58,221,make,Joel Embiid,2.0
Oct 18,4,Missed 2-pointer from 5 ft,56,291,miss,Joel Embiid,5.0
Oct 18,4,Missed 2-pointer from 1 ft,61,249,miss,Joel Embiid,1.0
Oct 18,4,Made 2-pointer from 0 ft,57,239,make,Joel Embiid,0.0
Oct 18,4,Made 2-pointer from 10 ft,148,206,make,Joel Embiid,10.0
Oct 20,1,Made 2-pointer from 14 ft,191,221,make,Joel Embiid,14.0
Oct 20,1,Made 2-pointer from 1 ft,62,240,make,Joel Embiid,1.0
Oct 20,1,Missed 3-pointer from 28 ft,326,210,miss,Joel Embiid,28.0
Oct 20,1,Made 2-pointer from 0 ft,53,240,make,Joel Embiid,0.0
Oct 20,1,Missed 2-pointer from 9 ft,142,238,miss,Joel Embiid,9.0
Oct 20,1,Missed 2-pointer from 11 ft,153,296,miss,Joel Embiid,11.0
Oct 20,1,Missed 2-pointer from 8 ft,119,290,miss,Joel Embiid,8.0
Oct 20,1,Made 3-pointer from 26 ft,308,262,make,Joel Embiid,26.0
Oct 20,1,Missed 2-pointer from 12 ft,174,246,miss,Joel Embiid,12.0
Oct 20,2,Missed 2-pointer from 3 ft,83,232,miss,Joel Embiid,3.0
Oct 20,2,Missed 2-pointer from 10 ft,153,217,miss,Joel Embiid,10.0
Oct 20,2,Made 2-pointer from 2 ft,65,254,make,Joel Embiid,2.0
Oct 20,2,Missed 2-pointer from 1 ft,58,243,miss,Joel Embiid,1.0
Oct 20,2,Made 2-pointer from 13 ft,153,316,make,Joel Embiid,13.0
Oct 20,3,Missed 2-pointer from 14 ft,168,164,miss,Joel Embiid,14.0
Oct 20,3,Missed 2-pointer from 4 ft,89,238,miss,Joel Embiid,4.0
Oct 20,3,Missed 2-pointer from 0 ft,56,237,miss,Joel Embiid,0.0
Oct 20,3,Missed 2-pointer from 14 ft,102,111,miss,Joel Embiid,14.0
Oct 20,3,Missed 2-pointer from 11 ft,61,353,miss,Joel Embiid,11.0
Oct 20,4,Missed 3-pointer from 25 ft,302,276,miss,Joel Embiid,25.0
Oct 20,4,Missed 2-pointer from 19 ft,229,179,miss,Joel Embiid,19.0
Oct 22,1,Made 2-pointer from 2 ft,72,231,make,Joel Embiid,2.0
Oct 22,1,Made 2-pointer from 13 ft,183,258,make,Joel Embiid,13.0
Oct 22,1,Missed 2-pointer from 2 ft,62,263,miss,Joel Embiid,2.0
Oct 22,2,Made 2-pointer from 20 ft,47,442,make,Joel Embiid,20.0
Oct 22,2,Missed 2-pointer from 4 ft,90,242,miss,Joel Embiid,4.0
Oct 22,2,Missed 2-pointer from 16 ft,213,230,miss,Joel Embiid,16.0
Oct 22,2,Missed 2-pointer from 11 ft,36,351,miss,Joel Embiid,11.0
Oct 22,3,Made 2-pointer from 2 ft,61,254,make,Joel Embiid,2.0
Oct 22,3,Missed 2-pointer from 2 ft,66,229,miss,Joel Embiid,2.0
Oct 22,3,Made 2-pointer from 16 ft,159,119,make,Joel Embiid,16.0
Oct 22,3,Made 2-pointer from 2 ft,67,250,make,Joel Embiid,2.0
Oct 22,3,Made 2-pointer from 2 ft,47,257,make,Joel Embiid,2.0
Oct 22,3,Missed 2-pointer from 4 ft,88,249,miss,Joel Embiid,4.0
Oct 22,3,Missed 2-pointer from 3 ft,83,245,miss,Joel Embiid,3.0
Oct 22,3,Made 2-pointer from 17 ft,218,283,make,Joel Embiid,17.0
Oct 22,3,Made 2-pointer from 1 ft,54,232,make,Joel Embiid,1.0
Oct 22,4,Missed 2-pointer from 3 ft,77,253,miss,Joel Embiid,3.0
Oct 22,4,Made 2-pointer from 18 ft,225,294,make,Joel Embiid,18.0
Oct 22,4,Missed 2-pointer from 4 ft,92,236,miss,Joel Embiid,4.0
Oct 22,4,Made 2-pointer from 2 ft,68,247,make,Joel Embiid,2.0
Oct 22,4,Made 2-pointer from 1 ft,51,248,make,Joel Embiid,1.0
Oct 22,4,Missed 3-pointer from 23 ft,89,12,miss,Joel Embiid,23.0
Oct 22,4,Made 2-pointer from 1 ft,64,248,make,Joel Embiid,1.0
Oct 22,4,Made 2-pointer from 2 ft,62,253,make,Joel Embiid,2.0
Oct 24,1,Made 2-pointer from 16 ft,208,235,make,Joel Embiid,16.0
Oct 24,1,Missed 2-pointer from 5 ft,88,202,miss,Joel Embiid,5.0
Oct 24,2,Missed 3-pointer from 27 ft,318,199,miss,Joel Embiid,27.0
Oct 24,2,Made 2-pointer from 1 ft,49,235,make,Joel Embiid,1.0
Oct 24,2,Made 2-pointer from 1 ft,58,248,make,Joel Embiid,1.0
Oct 24,3,Missed 2-pointer from 18 ft,233,278,miss,Joel Embiid,18.0
Oct 24,3,Made 3-pointer from 28 ft,281,81,make,Joel Embiid,28.0
Oct 24,3,Missed 3-pointer from 26 ft,310,205,miss,Joel Embiid,26.0
Oct 24,3,Missed 2-pointer from 18 ft,208,142,miss,Joel Embiid,18.0
Oct 24,3,Made 2-pointer from 1 ft,62,238,make,Joel Embiid,1.0
Oct 24,4,Made 2-pointer from 18 ft,207,153,make,Joel Embiid,18.0
Oct 24,4,Made 2-pointer from 19 ft,235,182,make,Joel Embiid,19.0
Oct 24,4,Made 2-pointer from 2 ft,68,252,make,Joel Embiid,2.0
Oct 26,1,Made 2-pointer from 13 ft,59,366,make,Joel Embiid,13.0
Oct 26,1,Made 2-pointer from 1 ft,67,240,make,Joel Embiid,1.0
Oct 26,1,Made 3-pointer from 27 ft,303,348,make,Joel Embiid,27.0
Oct 26,1,Made 2-pointer from 3 ft,79,249,make,Joel Embiid,3.0
Oct 26,1,Made 2-pointer from 1 ft,66,240,make,Joel Embiid,1.0
Oct 26,1,Missed 2-pointer from 8 ft,123,270,miss,Joel Embiid,8.0
Oct 26,2,Missed 2-pointer from 5 ft,70,283,miss,Joel Embiid,5.0
Oct 26,3,Made 3-pointer from 26 ft,274,370,make,Joel Embiid,26.0
Oct 26,3,Made 2-pointer from 1 ft,66,237,make,Joel Embiid,1.0
Oct 26,3,Made 2-pointer from 20 ft,210,115,make,Joel Embiid,20.0
Oct 26,3,Missed 3-pointer from 23 ft,59,9,miss,Joel Embiid,23.0
Oct 26,3,Made 2-pointer from 1 ft,59,244,make,Joel Embiid,1.0
Oct 26,3,Made 2-pointer from 1 ft,58,244,make,Joel Embiid,1.0
Oct 26,4,Made 2-pointer from 0 ft,57,238,make,Joel Embiid,0.0
