Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 19,1,Made 2-pointer from 13 ft,103,361,make,Luka Doncic,13.0
Oct 19,1,Made 2-pointer from 13 ft,163,306,make,Luka Doncic,13.0
Oct 19,1,Missed 3-pointer from 26 ft,313,270,miss,Luka Doncic,26.0
Oct 19,1,Made 2-pointer from 2 ft,69,257,make,Luka Doncic,2.0
Oct 19,1,Missed 3-pointer from 27 ft,268,398,miss,Luka Doncic,27.0
Oct 19,1,Made 2-pointer from 1 ft,56,249,make,Luka Doncic,1.0
Oct 19,1,Made 3-pointer from 27 ft,304,327,make,Luka Doncic,27.0
Oct 19,1,Made 2-pointer from 1 ft,62,248,make,Luka Doncic,1.0
Oct 19,2,Missed 2-pointer from 10 ft,143,273,miss,Luka Doncic,10.0
Oct 19,3,Made 3-pointer from 27 ft,274,82,make,Luka Doncic,27.0
Oct 19,3,Made 2-pointer from 16 ft,194,315,make,Luka Doncic,16.0
Oct 19,3,Missed 2-pointer from 17 ft,98,75,miss,Luka Doncic,17.0
Oct 19,3,Missed 3-pointer from 27 ft,257,60,miss,Luka Doncic,27.0
Oct 19,3,Missed 3-pointer from 26 ft,246,64,miss,Luka Doncic,26.0
Oct 19,3,Missed 3-pointer from 26 ft,235,57,miss,Luka Doncic,26.0
Oct 19,3,Missed 2-pointer from 4 ft,85,254,miss,Luka Doncic,4.0
Oct 19,3,Missed 2-pointer from 2 ft,69,249,miss,Luka Doncic,2.0
Oct 19,4,Made 2-pointer from 3 ft,74,258,make,Luka Doncic,3.0
Oct 19,4,Missed 2-pointer from 16 ft,215,259,miss,Luka Doncic,16.0
Oct 19,4,Missed 3-pointer from 27 ft,263,72,miss,Luka Doncic,27.0
Oct 19,4,Made 2-pointer from 2 ft,72,240,make,Luka Doncic,2.0
Oct 19,4,Missed 3-pointer from 34 ft,356,92,miss,Luka Doncic,34.0
Oct 22,1,Made 2-pointer from 3 ft,75,254,make,Luka Doncic,3.0
Oct 22,1,Made 3-pointer from 25 ft,208,46,make,Luka Doncic,25.0
Oct 22,1,Made 2-pointer from 2 ft,56,263,make,Luka Doncic,2.0
Oct 22,1,Made 2-pointer from 1 ft,52,248,make,Luka Doncic,1.0
Oct 22,1,Missed 3-pointer from 26 ft,313,279,miss,Luka Doncic,26.0
Oct 22,1,Made 2-pointer from 15 ft,111,102,make,Luka Doncic,15.0
Oct 22,1,Made 3-pointer from 25 ft,225,57,make,Luka Doncic,25.0
Oct 22,1,Made 3-pointer from 25 ft,215,51,make,Luka Doncic,25.0
Oct 22,1,Made 2-pointer from 1 ft,56,233,make,Luka Doncic,1.0
Oct 22,1,Missed 2-pointer from 2 ft,61,258,miss,Luka Doncic,2.0
Oct 22,2,Missed 3-pointer from 25 ft,287,335,miss,Luka Doncic,25.0
Oct 22,2,Missed 2-pointer from 2 ft,63,253,miss,Luka Doncic,2.0
Oct 22,2,Made 3-pointer from 28 ft,308,351,make,Luka Doncic,28.0
Oct 22,2,Missed 2-pointer from 8 ft,123,268,miss,Luka Doncic,8.0
Oct 22,3,Made 2-pointer from 6 ft,111,216,make,Luka Doncic,6.0
Oct 22,3,Missed 2-pointer from 0 ft,53,240,miss,Luka Doncic,0.0
Oct 22,3,Made 2-pointer from 1 ft,59,244,make,Luka Doncic,1.0
Oct 22,3,Missed 2-pointer from 2 ft,71,252,miss,Luka Doncic,2.0
Oct 22,3,Missed 3-pointer from 25 ft,243,403,miss,Luka Doncic,25.0
Oct 22,3,Missed 2-pointer from 2 ft,71,227,miss,Luka Doncic,2.0
Oct 22,3,Missed 3-pointer from 27 ft,325,253,miss,Luka Doncic,27.0
Oct 22,3,Made 2-pointer from 1 ft,63,240,make,Luka Doncic,1.0
Oct 22,3,Missed 3-pointer from 27 ft,246,51,miss,Luka Doncic,27.0
Oct 25,1,Made 2-pointer from 9 ft,128,197,make,Luka Doncic,9.0
Oct 25,1,Missed 2-pointer from 16 ft,138,107,miss,Luka Doncic,16.0
Oct 25,1,Made 2-pointer from 8 ft,95,309,make,Luka Doncic,8.0
Oct 25,1,Missed 3-pointer from 28 ft,318,334,miss,Luka Doncic,28.0
Oct 25,1,Missed 2-pointer from 2 ft,52,221,miss,Luka Doncic,2.0
Oct 25,1,Missed 3-pointer from 26 ft,210,36,miss,Luka Doncic,26.0
Oct 25,1,Made 2-pointer from 10 ft,128,300,make,Luka Doncic,10.0
Oct 25,1,Made 2-pointer from 12 ft,151,308,make,Luka Doncic,12.0
Oct 25,1,Made 3-pointer from 24 ft,157,19,make,Luka Doncic,24.0
Oct 25,1,Missed 3-pointer from 26 ft,285,355,miss,Luka Doncic,26.0
Oct 25,1,Made 2-pointer from 2 ft,54,262,make,Luka Doncic,2.0
Oct 25,1,Missed 3-pointer from 26 ft,290,339,miss,Luka Doncic,26.0
Oct 25,2,Made 2-pointer from 7 ft,83,173,make,Luka Doncic,7.0
Oct 25,2,Made 2-pointer from 2 ft,73,238,make,Luka Doncic,2.0
Oct 25,2,Made 2-pointer from 2 ft,57,259,make,Luka Doncic,2.0
Oct 25,2,Made 2-pointer from 8 ft,69,317,make,Luka Doncic,8.0
Oct 25,2,Missed 3-pointer from 27 ft,310,319,miss,Luka Doncic,27.0
Oct 25,3,Made 2-pointer from 1 ft,56,245,make,Luka Doncic,1.0
Oct 25,3,Made 2-pointer from 2 ft,52,258,make,Luka Doncic,2.0
Oct 25,3,Missed 3-pointer from 27 ft,313,180,miss,Luka Doncic,27.0
Oct 25,3,Missed 2-pointer from 7 ft,123,223,miss,Luka Doncic,7.0
Oct 25,3,Made 2-pointer from 15 ft,207,244,make,Luka Doncic,15.0
Oct 25,3,Made 3-pointer from 29 ft,259,32,make,Luka Doncic,29.0
Oct 25,3,Missed 3-pointer from 29 ft,345,250,miss,Luka Doncic,29.0
Oct 25,4,Missed 3-pointer from 28 ft,310,124,miss,Luka Doncic,28.0
Oct 25,4,Missed 3-pointer from 28 ft,251,48,miss,Luka Doncic,28.0
Oct 25,4,Missed 3-pointer from 27 ft,317,169,miss,Luka Doncic,27.0
Oct 25,4,Made 2-pointer from 2 ft,54,263,make,Luka Doncic,2.0
Oct 25,4,Made 2-pointer from 2 ft,54,219,make,Luka Doncic,2.0
Oct 25,4,Missed 3-pointer from 33 ft,284,10,miss,Luka Doncic,33.0
Oct 27,1,Missed 2-pointer from 12 ft,152,166,miss,Luka Doncic,12.0
Oct 27,1,Missed 2-pointer from 1 ft,57,227,miss,Luka Doncic,1.0
Oct 27,1,Missed 3-pointer from 25 ft,266,366,miss,Luka Doncic,25.0
Oct 27,1,Made 2-pointer from 9 ft,131,200,make,Luka Doncic,9.0
Oct 27,1,Missed 2-pointer from 10 ft,148,277,miss,Luka Doncic,10.0
Oct 27,1,Made 2-pointer from 4 ft,85,256,make,Luka Doncic,4.0
Oct 27,1,Made 2-pointer from 5 ft,78,282,make,Luka Doncic,5.0
Oct 27,1,Missed 2-pointer from 2 ft,74,247,miss,Luka Doncic,2.0
Oct 27,1,Made 3-pointer from 26 ft,298,316,make,Luka Doncic,26.0
Oct 27,2,Missed 2-pointer from 3 ft,70,268,miss,Luka Doncic,3.0
Oct 27,2,Missed 2-pointer from 3 ft,56,265,miss,Luka Doncic,3.0
Oct 27,2,Made 2-pointer from 1 ft,59,237,make,Luka Doncic,1.0
Oct 27,2,Missed 3-pointer from 23 ft,128,19,miss,Luka Doncic,23.0
Oct 27,2,Made 2-pointer from 2 ft,66,249,make,Luka Doncic,2.0
Oct 27,3,Made 2-pointer from 7 ft,118,233,make,Luka Doncic,7.0
Oct 27,3,Missed 2-pointer from 3 ft,75,254,miss,Luka Doncic,3.0
Oct 27,3,Made 3-pointer from 26 ft,299,162,make,Luka Doncic,26.0
Oct 27,3,Missed 2-pointer from 14 ft,147,140,miss,Luka Doncic,14.0
Oct 27,3,Made 2-pointer from 1 ft,59,247,make,Luka Doncic,1.0
Oct 27,3,Missed 3-pointer from 26 ft,294,145,miss,Luka Doncic,26.0
Oct 27,3,Made 2-pointer from 2 ft,66,254,make,Luka Doncic,2.0
Oct 27,3,Made 2-pointer from 1 ft,58,253,make,Luka Doncic,1.0
