Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 30,1,Missed 2-pointer from 3 ft,58,268,miss,Paul Pierce,3.0
Oct 30,1,Missed 3-pointer from 25 ft,241,81,miss,Paul Pierce,25.0
Oct 30,1,Made 2-pointer from 2 ft,57,222,make,Paul Pierce,2.0
Oct 30,1,Made 3-pointer from 24 ft,288,251,make,Paul Pierce,24.0
Oct 30,1,Made 2-pointer from 2 ft,62,260,make,Paul Pierce,2.0
Oct 30,1,Made 2-pointer from 17 ft,185,145,make,Paul Pierce,17.0
Oct 30,2,Made 2-pointer from 1 ft,50,234,make,Paul Pierce,1.0
Oct 30,2,Made 2-pointer from 2 ft,55,260,make,Paul Pierce,2.0
Oct 30,2,Made 2-pointer from 3 ft,60,264,make,Paul Pierce,3.0
Oct 30,2,Missed 2-pointer from 18 ft,96,68,miss,Paul Pierce,18.0
Oct 30,2,Missed 2-pointer from 1 ft,55,248,miss,Paul Pierce,1.0
Oct 30,3,Made 2-pointer from 2 ft,49,256,make,Paul Pierce,2.0
Oct 30,3,Missed 3-pointer from 24 ft,283,189,miss,Paul Pierce,24.0
Oct 30,3,Made 2-pointer from 2 ft,57,220,make,Paul Pierce,2.0
Oct 30,3,Missed 3-pointer from 25 ft,201,434,miss,Paul Pierce,25.0
Oct 30,4,Made 3-pointer from 24 ft,244,388,make,Paul Pierce,24.0
Oct 30,4,Made 2-pointer from 2 ft,55,264,make,Paul Pierce,2.0
Oct 30,4,Missed 2-pointer from 16 ft,213,246,miss,Paul Pierce,16.0
Oct 30,4,Missed 2-pointer from 2 ft,68,225,miss,Paul Pierce,2.0
Oct 30,4,Missed 2-pointer from 17 ft,62,411,miss,Paul Pierce,17.0
Oct 30,4,Missed 2-pointer from 16 ft,75,393,miss,Paul Pierce,16.0
Oct 30,4,Missed 3-pointer from 24 ft,150,458,miss,Paul Pierce,24.0
Oct 31,1,Made 2-pointer from 2 ft,53,256,make,Paul Pierce,2.0
Oct 31,1,Missed 2-pointer from 18 ft,129,81,miss,Paul Pierce,18.0
Oct 31,1,Missed 3-pointer from 24 ft,29,-1,miss,Paul Pierce,24.0
Oct 31,1,Missed 2-pointer from 17 ft,80,77,miss,Paul Pierce,17.0
Oct 31,1,Missed 2-pointer from 20 ft,21,41,miss,Paul Pierce,20.0
Oct 31,1,Missed 3-pointer from 26 ft,290,146,miss,Paul Pierce,26.0
Oct 31,2,Made 2-pointer from 3 ft,80,243,make,Paul Pierce,3.0
Oct 31,2,Missed 3-pointer from 26 ft,313,220,miss,Paul Pierce,26.0
Oct 31,2,Missed 2-pointer from 5 ft,93,256,miss,Paul Pierce,5.0
Oct 31,2,Missed 2-pointer from 17 ft,101,81,miss,Paul Pierce,17.0
Oct 31,2,Missed 3-pointer from 25 ft,287,165,miss,Paul Pierce,25.0
Oct 31,3,Missed 3-pointer from 25 ft,195,31,miss,Paul Pierce,25.0
Oct 31,3,Missed 2-pointer from 7 ft,80,301,miss,Paul Pierce,7.0
Oct 31,3,Missed 2-pointer from 5 ft,57,191,miss,Paul Pierce,5.0
Oct 31,3,Missed 3-pointer from 25 ft,256,383,miss,Paul Pierce,25.0
Oct 31,4,Made 2-pointer from 16 ft,72,86,make,Paul Pierce,16.0
