Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 29,1,Made 2-pointer from 17 ft,34,412,make,Allen Iverson,17.0
Oct 29,1,Missed 2-pointer from 11 ft,119,151,miss,Allen Iverson,11.0
Oct 29,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Oct 29,1,Missed 2-pointer from 18 ft,27,63,miss,Allen Iverson,18.0
Oct 29,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Oct 29,1,Missed 3-pointer from 24 ft,155,23,miss,Allen Iverson,24.0
Oct 29,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Oct 29,2,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Oct 29,2,Missed 2-pointer from 18 ft,114,68,miss,Allen Iverson,18.0
Oct 29,2,Missed 2-pointer from 13 ft,114,352,miss,Allen Iverson,13.0
Oct 29,3,Made 2-pointer from 19 ft,187,105,make,Allen Iverson,19.0
Oct 29,3,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Oct 29,3,Made 2-pointer from 21 ft,262,245,make,Allen Iverson,21.0
Oct 29,3,Missed 3-pointer from 23 ft,27,8,miss,Allen Iverson,23.0
Oct 29,3,Missed 2-pointer from 5 ft,96,246,miss,Allen Iverson,5.0
Oct 29,3,Missed 2-pointer from 8 ft,52,322,miss,Allen Iverson,8.0
Oct 29,3,Missed 2-pointer from 17 ft,52,68,miss,Allen Iverson,17.0
Oct 29,3,Made 2-pointer from 14 ft,101,371,make,Allen Iverson,14.0
Oct 29,3,Missed 2-pointer from 12 ft,121,342,miss,Allen Iverson,12.0
Oct 29,3,Missed 2-pointer from 17 ft,214,204,miss,Allen Iverson,17.0
Oct 29,4,Missed 2-pointer from 17 ft,157,375,miss,Allen Iverson,17.0
Oct 29,4,Missed 2-pointer from 6 ft,103,209,miss,Allen Iverson,6.0
Oct 29,4,Missed 2-pointer from 19 ft,16,58,miss,Allen Iverson,19.0
Oct 29,4,Missed 3-pointer from 23 ft,73,473,miss,Allen Iverson,23.0
Oct 29,4,Missed 2-pointer from 20 ft,244,197,miss,Allen Iverson,20.0
Oct 30,1,Made 2-pointer from 12 ft,157,183,make,Allen Iverson,12.0
Oct 30,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Oct 30,1,Made 2-pointer from 9 ft,27,155,make,Allen Iverson,9.0
Oct 30,1,Missed 2-pointer from 15 ft,196,266,miss,Allen Iverson,15.0
Oct 30,1,Made 2-pointer from 22 ft,203,401,make,Allen Iverson,22.0
Oct 30,1,Made 2-pointer from 17 ft,49,411,make,Allen Iverson,17.0
Oct 30,1,Missed 3-pointer from 27 ft,321,263,miss,Allen Iverson,27.0
Oct 30,2,Missed 2-pointer from 14 ft,137,128,miss,Allen Iverson,14.0
Oct 30,2,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Oct 30,2,Missed 3-pointer from 27 ft,228,43,miss,Allen Iverson,27.0
Oct 30,2,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Oct 30,2,Made 2-pointer from 15 ft,188,306,make,Allen Iverson,15.0
Oct 30,2,Missed 3-pointer from 27 ft,323,266,miss,Allen Iverson,27.0
Oct 30,2,Missed 3-pointer from 25 ft,295,215,miss,Allen Iverson,25.0
Oct 30,3,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Oct 30,3,Missed 3-pointer from 23 ft,32,12,miss,Allen Iverson,23.0
Oct 30,3,Missed 2-pointer from 17 ft,49,72,miss,Allen Iverson,17.0
Oct 30,3,Missed 2-pointer from 15 ft,109,381,miss,Allen Iverson,15.0
Oct 30,4,Made 2-pointer from 22 ft,144,40,make,Allen Iverson,22.0
Oct 30,4,Missed 2-pointer from 11 ft,53,352,miss,Allen Iverson,11.0
Oct 30,4,Missed 3-pointer from 27 ft,313,181,miss,Allen Iverson,27.0
Oct 30,4,Made 2-pointer from 19 ft,190,112,make,Allen Iverson,19.0
Oct 30,4,Missed 2-pointer from 15 ft,101,381,miss,Allen Iverson,15.0
Oct 30,4,Missed 3-pointer from 26 ft,213,440,miss,Allen Iverson,26.0
Oct 30,4,Made 2-pointer from 19 ft,114,59,make,Allen Iverson,19.0
Nov 1,1,Missed 2-pointer from 13 ft,88,115,miss,Allen Iverson,13.0
Nov 1,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 1,1,Missed 2-pointer from 15 ft,160,133,miss,Allen Iverson,15.0
Nov 1,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 1,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 1,1,Made 2-pointer from 13 ft,147,151,make,Allen Iverson,13.0
Nov 1,1,Missed 2-pointer from 18 ft,162,95,miss,Allen Iverson,18.0
Nov 1,1,Missed 2-pointer from 17 ft,95,71,miss,Allen Iverson,17.0
Nov 1,1,Missed 3-pointer from 26 ft,308,240,miss,Allen Iverson,26.0
Nov 1,2,Missed 2-pointer from 10 ft,85,150,miss,Allen Iverson,10.0
Nov 1,2,Missed 2-pointer from 10 ft,136,296,miss,Allen Iverson,10.0
Nov 1,2,Made 2-pointer from 17 ft,26,404,make,Allen Iverson,17.0
Nov 1,2,Missed 3-pointer from 27 ft,251,54,miss,Allen Iverson,27.0
Nov 1,2,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 1,2,Made 2-pointer from 12 ft,98,347,make,Allen Iverson,12.0
Nov 1,2,Missed 2-pointer from 17 ft,203,161,miss,Allen Iverson,17.0
Nov 1,3,Missed 2-pointer from 18 ft,88,411,miss,Allen Iverson,18.0
Nov 1,3,Made 2-pointer from 16 ft,142,104,make,Allen Iverson,16.0
Nov 1,3,Missed 2-pointer from 15 ft,108,104,miss,Allen Iverson,15.0
Nov 1,3,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 1,3,Missed 2-pointer from 17 ft,111,396,miss,Allen Iverson,17.0
Nov 1,3,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 1,4,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 1,4,Made 2-pointer from 13 ft,49,110,make,Allen Iverson,13.0
Nov 1,4,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 1,4,Made 2-pointer from 17 ft,164,109,make,Allen Iverson,17.0
Nov 1,4,Made 2-pointer from 10 ft,55,141,make,Allen Iverson,10.0
Nov 1,4,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 1,4,Missed 2-pointer from 19 ft,160,89,miss,Allen Iverson,19.0
Nov 6,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 6,1,Missed 2-pointer from 13 ft,127,348,miss,Allen Iverson,13.0
Nov 6,1,Missed 2-pointer from 17 ft,154,105,miss,Allen Iverson,17.0
Nov 6,1,Missed 2-pointer from 18 ft,85,59,miss,Allen Iverson,18.0
Nov 6,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 6,1,Made 2-pointer from 19 ft,208,132,make,Allen Iverson,19.0
Nov 6,2,Missed 3-pointer from 27 ft,252,64,miss,Allen Iverson,27.0
Nov 6,2,Missed 2-pointer from 18 ft,150,89,miss,Allen Iverson,18.0
Nov 6,2,Made 2-pointer from 15 ft,187,184,make,Allen Iverson,15.0
Nov 6,2,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 6,2,Made 2-pointer from 17 ft,211,301,make,Allen Iverson,17.0
Nov 6,2,Missed 2-pointer from 15 ft,53,91,miss,Allen Iverson,15.0
Nov 6,3,Made 2-pointer from 15 ft,62,92,make,Allen Iverson,15.0
Nov 6,3,Missed 3-pointer from 28 ft,310,337,miss,Allen Iverson,28.0
Nov 6,3,Missed 3-pointer from 27 ft,282,102,miss,Allen Iverson,27.0
Nov 6,3,Missed 2-pointer from 12 ft,81,120,miss,Allen Iverson,12.0
Nov 6,3,Made 2-pointer from 10 ft,98,322,make,Allen Iverson,10.0
Nov 6,4,Made 2-pointer from 19 ft,139,77,make,Allen Iverson,19.0
Nov 6,4,Missed 2-pointer from 17 ft,126,388,miss,Allen Iverson,17.0
Nov 6,4,Missed 2-pointer from 18 ft,91,64,miss,Allen Iverson,18.0
Nov 6,4,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 6,4,Missed 2-pointer from 13 ft,109,355,miss,Allen Iverson,13.0
Nov 6,4,Missed 3-pointer from 22 ft,44,18,miss,Allen Iverson,22.0
Nov 6,4,Missed 2-pointer from 19 ft,53,49,miss,Allen Iverson,19.0
Nov 6,4,Missed 2-pointer from 16 ft,104,388,miss,Allen Iverson,16.0
Nov 6,1,Made 2-pointer from 20 ft,246,240,make,Allen Iverson,20.0
Nov 6,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 6,1,Made 2-pointer from 20 ft,136,59,make,Allen Iverson,20.0
Nov 8,1,Made 2-pointer from 17 ft,52,409,make,Allen Iverson,17.0
Nov 8,1,Made 2-pointer from 18 ft,67,63,make,Allen Iverson,18.0
Nov 8,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 8,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 8,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 8,1,Missed 2-pointer from 15 ft,198,224,miss,Allen Iverson,15.0
Nov 8,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 8,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 8,2,Made 2-pointer from 19 ft,218,327,make,Allen Iverson,19.0
Nov 8,2,Missed 2-pointer from 15 ft,21,386,miss,Allen Iverson,15.0
Nov 8,2,Missed 3-pointer from 23 ft,50,10,miss,Allen Iverson,23.0
Nov 8,2,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 8,2,Missed 2-pointer from 17 ft,177,122,miss,Allen Iverson,17.0
Nov 8,2,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 8,3,Made 2-pointer from 13 ft,180,234,make,Allen Iverson,13.0
Nov 8,3,Made 2-pointer from 18 ft,47,417,make,Allen Iverson,18.0
Nov 8,3,Missed 2-pointer from 16 ft,63,403,miss,Allen Iverson,16.0
Nov 9,1,Made 2-pointer from 16 ft,165,350,make,Allen Iverson,16.0
Nov 9,1,Missed 2-pointer from 14 ft,44,97,miss,Allen Iverson,14.0
Nov 9,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 9,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 9,1,Missed 2-pointer from 21 ft,213,370,miss,Allen Iverson,21.0
Nov 9,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 9,1,Missed 2-pointer from 13 ft,49,109,miss,Allen Iverson,13.0
Nov 9,1,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 9,2,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 9,2,Missed 2-pointer from 16 ft,178,151,miss,Allen Iverson,16.0
Nov 9,2,Missed 2-pointer from 8 ft,116,189,miss,Allen Iverson,8.0
Nov 9,2,Missed 2-pointer from 18 ft,42,64,miss,Allen Iverson,18.0
Nov 9,2,Missed 2-pointer from 17 ft,121,87,miss,Allen Iverson,17.0
Nov 9,2,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 9,3,Made 2-pointer from 15 ft,39,86,make,Allen Iverson,15.0
Nov 9,3,Made 2-pointer from 21 ft,191,89,make,Allen Iverson,21.0
Nov 9,3,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 9,4,Missed 2-pointer from 17 ft,170,360,miss,Allen Iverson,17.0
Nov 9,4,Made 2-pointer from 8 ft,96,179,make,Allen Iverson,8.0
Nov 9,4,Made 2-pointer from 14 ft,175,171,make,Allen Iverson,14.0
Nov 9,4,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 9,4,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 9,4,Made 2-pointer from 0 ft,50,240,make,Allen Iverson,0.0
Nov 9,4,Missed 2-pointer from 16 ft,193,317,miss,Allen Iverson,16.0
Nov 9,1,Missed 2-pointer from 8 ft,101,173,miss,Allen Iverson,8.0
Nov 9,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 9,1,Missed 2-pointer from 0 ft,50,240,miss,Allen Iverson,0.0
Nov 13,1,Missed 3-pointer from 25 ft,231,72,miss,Allen Iverson,25.0
Nov 13,1,Missed 2-pointer from 15 ft,63,87,miss,Allen Iverson,15.0
Nov 13,1,Missed 2-pointer from 20 ft,190,95,miss,Allen Iverson,20.0
Nov 13,1,Missed 2-pointer from 2 ft,67,222,miss,Allen Iverson,2.0
Nov 13,1,Missed 2-pointer from 2 ft,55,263,miss,Allen Iverson,2.0
Nov 13,1,Missed 2-pointer from 17 ft,63,412,miss,Allen Iverson,17.0
Nov 13,1,Made 3-pointer from 23 ft,53,7,make,Allen Iverson,23.0
Nov 13,2,Made 2-pointer from 21 ft,191,84,make,Allen Iverson,21.0
Nov 13,2,Missed 2-pointer from 22 ft,210,87,miss,Allen Iverson,22.0
Nov 13,2,Missed 2-pointer from 18 ft,70,66,miss,Allen Iverson,18.0
Nov 13,2,Made 3-pointer from 25 ft,234,71,make,Allen Iverson,25.0
Nov 13,3,Missed 2-pointer from 14 ft,60,104,miss,Allen Iverson,14.0
Nov 13,3,Missed 3-pointer from 25 ft,226,64,miss,Allen Iverson,25.0
Nov 13,3,Missed 2-pointer from 22 ft,226,104,miss,Allen Iverson,22.0
Nov 13,3,Made 2-pointer from 2 ft,50,222,make,Allen Iverson,2.0
Nov 13,3,Made 2-pointer from 16 ft,65,77,make,Allen Iverson,16.0
Nov 13,3,Made 3-pointer from 25 ft,201,45,make,Allen Iverson,25.0
Nov 13,3,Missed 3-pointer from 24 ft,293,234,miss,Allen Iverson,24.0
Nov 13,3,Missed 2-pointer from 21 ft,193,91,miss,Allen Iverson,21.0
Nov 13,3,Missed 2-pointer from 6 ft,86,284,miss,Allen Iverson,6.0
Nov 13,4,Missed 2-pointer from 22 ft,205,91,miss,Allen Iverson,22.0
Nov 13,4,Made 2-pointer from 3 ft,60,263,make,Allen Iverson,3.0
Nov 13,4,Made 2-pointer from 23 ft,239,363,make,Allen Iverson,23.0
Nov 13,4,Made 2-pointer from 0 ft,50,237,make,Allen Iverson,0.0
Nov 14,1,Missed 2-pointer from 18 ft,165,102,miss,Allen Iverson,18.0
Nov 14,1,Made 3-pointer from 26 ft,233,58,make,Allen Iverson,26.0
Nov 14,1,Made 2-pointer from 21 ft,234,137,make,Allen Iverson,21.0
Nov 14,1,Missed 2-pointer from 12 ft,126,334,miss,Allen Iverson,12.0
Nov 14,2,Made 2-pointer from 18 ft,185,360,make,Allen Iverson,18.0
