Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 30,1,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Oct 30,1,Missed 3-pointer from 26 ft,272,375,miss,Dirk Nowitzki,26.0
Oct 30,1,Missed 3-pointer from 25 ft,270,120,miss,Dirk Nowitzki,25.0
Oct 30,1,Missed 2-pointer from 22 ft,223,375,miss,Dirk Nowitzki,22.0
Oct 30,1,Made 2-pointer from 11 ft,103,335,make,Dirk Nowitzki,11.0
Oct 30,1,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Oct 30,1,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Oct 30,2,Missed 2-pointer from 16 ft,185,327,miss,Dirk Nowitzki,16.0
Oct 30,2,Missed 2-pointer from 10 ft,136,291,miss,Dirk Nowitzki,10.0
Oct 30,2,Missed 3-pointer from 25 ft,193,447,miss,Dirk Nowitzki,25.0
Oct 30,2,Made 2-pointer from 14 ft,95,376,make,Dirk Nowitzki,14.0
Oct 30,2,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Oct 30,3,Made 2-pointer from 7 ft,106,287,make,Dirk Nowitzki,7.0
Oct 30,3,Missed 2-pointer from 19 ft,91,430,miss,Dirk Nowitzki,19.0
Oct 30,3,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Oct 30,3,Missed 3-pointer from 25 ft,244,403,miss,Dirk Nowitzki,25.0
Oct 30,3,Missed 3-pointer from 26 ft,162,472,miss,Dirk Nowitzki,26.0
Oct 30,4,Made 2-pointer from 18 ft,58,421,make,Dirk Nowitzki,18.0
Oct 30,4,Missed 2-pointer from 19 ft,170,386,miss,Dirk Nowitzki,19.0
Oct 30,4,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Nov 2,1,Made 2-pointer from 11 ft,139,311,make,Dirk Nowitzki,11.0
Nov 2,1,Made 2-pointer from 14 ft,52,100,make,Dirk Nowitzki,14.0
Nov 2,1,Made 2-pointer from 17 ft,57,72,make,Dirk Nowitzki,17.0
Nov 2,1,Missed 2-pointer from 17 ft,57,406,miss,Dirk Nowitzki,17.0
Nov 2,1,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Nov 2,2,Made 3-pointer from 24 ft,285,184,make,Dirk Nowitzki,24.0
Nov 2,2,Missed 2-pointer from 17 ft,90,407,miss,Dirk Nowitzki,17.0
Nov 2,2,Missed 2-pointer from 18 ft,88,412,miss,Dirk Nowitzki,18.0
Nov 2,3,Made 2-pointer from 11 ft,50,345,make,Dirk Nowitzki,11.0
Nov 2,3,Missed 2-pointer from 12 ft,165,248,miss,Dirk Nowitzki,12.0
Nov 2,3,Missed 2-pointer from 16 ft,50,79,miss,Dirk Nowitzki,16.0
Nov 2,4,Missed 3-pointer from 25 ft,262,366,miss,Dirk Nowitzki,25.0
Nov 2,4,Missed 2-pointer from 0 ft,50,240,miss,Dirk Nowitzki,0.0
Nov 2,4,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Nov 2,4,Missed 2-pointer from 10 ft,113,320,miss,Dirk Nowitzki,10.0
Nov 2,4,Missed 2-pointer from 21 ft,205,375,miss,Dirk Nowitzki,21.0
Nov 4,1,Made 3-pointer from 22 ft,67,17,make,Dirk Nowitzki,22.0
Nov 4,1,Made 2-pointer from 15 ft,93,92,make,Dirk Nowitzki,15.0
Nov 4,1,Made 2-pointer from 15 ft,88,91,make,Dirk Nowitzki,15.0
Nov 4,1,Missed 2-pointer from 15 ft,198,202,miss,Dirk Nowitzki,15.0
Nov 4,2,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Nov 4,2,Made 2-pointer from 10 ft,109,317,make,Dirk Nowitzki,10.0
Nov 4,2,Missed 2-pointer from 19 ft,239,227,miss,Dirk Nowitzki,19.0
Nov 4,2,Made 2-pointer from 0 ft,50,240,make,Dirk Nowitzki,0.0
Nov 4,2,Missed 3-pointer from 24 ft,287,204,miss,Dirk Nowitzki,24.0
Nov 4,3,Made 2-pointer from 11 ft,129,314,make,Dirk Nowitzki,11.0
Nov 4,3,Made 2-pointer from 21 ft,195,398,make,Dirk Nowitzki,21.0
Nov 4,3,Missed 2-pointer from 20 ft,101,432,miss,Dirk Nowitzki,20.0
Nov 4,3,Missed 2-pointer from 0 ft,50,240,miss,Dirk Nowitzki,0.0
Nov 4,4,Missed 2-pointer from 14 ft,80,376,miss,Dirk Nowitzki,14.0
Nov 4,4,Missed 3-pointer from 24 ft,285,173,miss,Dirk Nowitzki,24.0
Nov 6,1,Missed 2-pointer from 0 ft,50,240,miss,Dirk Nowitzki,0.0
Nov 6,1,Missed 2-pointer from 0 ft,50,240,miss,Dirk Nowitzki,0.0
Nov 6,1,Missed 2-pointer from 15 ft,104,380,miss,Dirk Nowitzki,15.0
Nov 6,1,Made 2-pointer from 9 ft,144,232,make,Dirk Nowitzki,9.0
