Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 20,1,Made 2-pointer from 3 ft,63,268,make,Giannis Antetokounmpo,3.0
Oct 20,1,Made 2-pointer from 1 ft,61,232,make,Giannis Antetokounmpo,1.0
Oct 20,1,Made 3-pointer from 28 ft,279,83,make,Giannis Antetokounmpo,28.0
Oct 20,1,Made 2-pointer from 20 ft,214,130,make,Giannis Antetokounmpo,20.0
Oct 20,2,Made 2-pointer from 4 ft,83,259,make,Giannis Antetokounmpo,4.0
Oct 20,2,Missed 2-pointer from 14 ft,134,124,miss,Giannis Antetokounmpo,14.0
Oct 20,3,Made 2-pointer from 1 ft,57,230,make,Giannis Antetokounmpo,1.0
Oct 20,3,Missed 2-pointer from 3 ft,78,237,miss,Giannis Antetokounmpo,3.0
Oct 20,3,Missed 3-pointer from 27 ft,327,231,miss,Giannis Antetokounmpo,27.0
Oct 20,4,Missed 2-pointer from 16 ft,179,136,miss,Giannis Antetokounmpo,16.0
Oct 20,4,Made 2-pointer from 2 ft,72,241,make,Giannis Antetokounmpo,2.0
Oct 20,4,Made 2-pointer from 1 ft,64,241,make,Giannis Antetokounmpo,1.0
Oct 20,4,Missed 3-pointer from 28 ft,318,147,miss,Giannis Antetokounmpo,28.0
Oct 20,4,Missed 2-pointer from 16 ft,150,116,miss,Giannis Antetokounmpo,16.0
Oct 20,4,Made 2-pointer from 4 ft,91,243,make,Giannis Antetokounmpo,4.0
Oct 20,4,Missed 2-pointer from 2 ft,72,225,miss,Giannis Antetokounmpo,2.0
Oct 22,1,Made 2-pointer from 2 ft,74,236,make,Giannis Antetokounmpo,2.0
Oct 22,1,Made 2-pointer from 2 ft,77,238,make,Giannis Antetokounmpo,2.0
Oct 22,1,Made 2-pointer from 3 ft,77,231,make,Giannis Antetokounmpo,3.0
Oct 22,2,Missed 2-pointer from 6 ft,106,272,miss,Giannis Antetokounmpo,6.0
Oct 22,2,Made 2-pointer from 1 ft,63,240,make,Giannis Antetokounmpo,1.0
Oct 22,2,Made 2-pointer from 1 ft,61,231,make,Giannis Antetokounmpo,1.0
Oct 22,2,Made 2-pointer from 2 ft,75,233,make,Giannis Antetokounmpo,2.0
Oct 22,2,Made 2-pointer from 3 ft,79,227,make,Giannis Antetokounmpo,3.0
Oct 22,2,Made 2-pointer from 1 ft,56,244,make,Giannis Antetokounmpo,1.0
Oct 22,3,Made 2-pointer from 5 ft,95,216,make,Giannis Antetokounmpo,5.0
Oct 22,3,Made 3-pointer from 29 ft,331,177,make,Giannis Antetokounmpo,29.0
Oct 22,3,Made 2-pointer from 1 ft,57,250,make,Giannis Antetokounmpo,1.0
Oct 22,3,Made 2-pointer from 2 ft,66,255,make,Giannis Antetokounmpo,2.0
Oct 22,3,Missed 2-pointer from 3 ft,85,236,miss,Giannis Antetokounmpo,3.0
Oct 22,3,Made 3-pointer from 27 ft,308,317,make,Giannis Antetokounmpo,27.0
Oct 22,3,Made 2-pointer from 4 ft,73,273,make,Giannis Antetokounmpo,4.0
Oct 22,3,Made 2-pointer from 3 ft,71,266,make,Giannis Antetokounmpo,3.0
Oct 22,4,Missed 3-pointer from 25 ft,257,378,miss,Giannis Antetokounmpo,25.0
Oct 22,4,Made 2-pointer from 19 ft,241,273,make,Giannis Antetokounmpo,19.0
Oct 22,4,Made 2-pointer from 1 ft,63,250,make,Giannis Antetokounmpo,1.0
Oct 22,4,Missed 2-pointer from 2 ft,73,248,miss,Giannis Antetokounmpo,2.0
Oct 26,1,Missed 2-pointer from 18 ft,211,321,miss,Giannis Antetokounmpo,18.0
Oct 26,1,Missed 2-pointer from 3 ft,75,252,miss,Giannis Antetokounmpo,3.0
Oct 26,1,Made 2-pointer from 5 ft,85,272,make,Giannis Antetokounmpo,5.0
Oct 26,1,Missed 3-pointer from 28 ft,316,342,miss,Giannis Antetokounmpo,28.0
Oct 26,1,Made 2-pointer from 2 ft,72,237,make,Giannis Antetokounmpo,2.0
Oct 26,1,Missed 2-pointer from 16 ft,200,177,miss,Giannis Antetokounmpo,16.0
Oct 26,1,Made 2-pointer from 0 ft,53,240,make,Giannis Antetokounmpo,0.0
Oct 26,2,Missed 2-pointer from 19 ft,220,332,miss,Giannis Antetokounmpo,19.0
Oct 26,2,Missed 2-pointer from 16 ft,103,393,miss,Giannis Antetokounmpo,16.0
Oct 26,2,Missed 3-pointer from 27 ft,323,243,miss,Giannis Antetokounmpo,27.0
Oct 26,3,Made 2-pointer from 1 ft,61,252,make,Giannis Antetokounmpo,1.0
Oct 26,3,Missed 2-pointer from 6 ft,116,247,miss,Giannis Antetokounmpo,6.0
Oct 26,3,Missed 3-pointer from 26 ft,284,367,miss,Giannis Antetokounmpo,26.0
Oct 26,3,Made 2-pointer from 4 ft,87,263,make,Giannis Antetokounmpo,4.0
Oct 26,3,Made 2-pointer from 2 ft,74,249,make,Giannis Antetokounmpo,2.0
Oct 26,3,Made 2-pointer from 3 ft,74,259,make,Giannis Antetokounmpo,3.0
Oct 26,3,Made 2-pointer from 3 ft,74,261,make,Giannis Antetokounmpo,3.0
Oct 26,3,Made 2-pointer from 3 ft,80,247,make,Giannis Antetokounmpo,3.0
Oct 26,4,Made 3-pointer from 25 ft,182,25,make,Giannis Antetokounmpo,25.0
Oct 26,4,Made 2-pointer from 2 ft,67,255,make,Giannis Antetokounmpo,2.0
Oct 26,4,Made 2-pointer from 2 ft,63,222,make,Giannis Antetokounmpo,2.0
Oct 26,4,Made 2-pointer from 3 ft,77,257,make,Giannis Antetokounmpo,3.0
Oct 26,4,Made 2-pointer from 16 ft,210,218,make,Giannis Antetokounmpo,16.0
Oct 26,4,Made 2-pointer from 1 ft,54,248,make,Giannis Antetokounmpo,1.0
Oct 26,4,Made 2-pointer from 1 ft,62,247,make,Giannis Antetokounmpo,1.0
Oct 28,1,Made 2-pointer from 1 ft,67,238,make,Giannis Antetokounmpo,1.0
Oct 28,1,Made 2-pointer from 2 ft,63,225,make,Giannis Antetokounmpo,2.0
Oct 28,1,Missed 2-pointer from 15 ft,205,246,miss,Giannis Antetokounmpo,15.0
Oct 28,1,Made 2-pointer from 2 ft,62,225,make,Giannis Antetokounmpo,2.0
Oct 28,1,Missed 2-pointer from 2 ft,75,237,miss,Giannis Antetokounmpo,2.0
Oct 28,1,Made 2-pointer from 3 ft,77,233,make,Giannis Antetokounmpo,3.0
Oct 28,1,Missed 3-pointer from 29 ft,311,369,miss,Giannis Antetokounmpo,29.0
Oct 28,2,Made 2-pointer from 11 ft,92,139,make,Giannis Antetokounmpo,11.0
Oct 28,2,Missed 3-pointer from 28 ft,305,356,miss,Giannis Antetokounmpo,28.0
Oct 28,2,Made 2-pointer from 2 ft,74,246,make,Giannis Antetokounmpo,2.0
Oct 28,2,Made 2-pointer from 1 ft,64,232,make,Giannis Antetokounmpo,1.0
Oct 28,3,Missed 3-pointer from 26 ft,262,78,miss,Giannis Antetokounmpo,26.0
Oct 28,3,Missed 2-pointer from 12 ft,171,216,miss,Giannis Antetokounmpo,12.0
Oct 28,3,Made 3-pointer from 26 ft,245,417,make,Giannis Antetokounmpo,26.0
Oct 28,3,Made 2-pointer from 1 ft,62,249,make,Giannis Antetokounmpo,1.0
Oct 28,4,Missed 2-pointer from 3 ft,64,208,miss,Giannis Antetokounmpo,3.0
Oct 28,4,Missed 2-pointer from 3 ft,72,268,miss,Giannis Antetokounmpo,3.0
Oct 28,4,Missed 2-pointer from 17 ft,61,72,miss,Giannis Antetokounmpo,17.0
Oct 28,4,Made 2-pointer from 1 ft,57,245,make,Giannis Antetokounmpo,1.0
Oct 28,4,Made 2-pointer from 1 ft,64,238,make,Giannis Antetokounmpo,1.0
Oct 28,4,Missed 3-pointer from 27 ft,321,185,miss,Giannis Antetokounmpo,27.0
Oct 28,4,Missed 3-pointer from 27 ft,245,57,miss,Giannis Antetokounmpo,27.0
Oct 29,1,Missed 2-pointer from 4 ft,92,244,miss,Giannis Antetokounmpo,4.0
Oct 29,1,Made 2-pointer from 2 ft,72,240,make,Giannis Antetokounmpo,2.0
Oct 29,1,Missed 2-pointer from 16 ft,188,152,miss,Giannis Antetokounmpo,16.0
Oct 29,1,Missed 2-pointer from 12 ft,63,121,miss,Giannis Antetokounmpo,12.0
Oct 29,1,Missed 2-pointer from 3 ft,78,240,miss,Giannis Antetokounmpo,3.0
Oct 29,2,Missed 2-pointer from 4 ft,95,232,miss,Giannis Antetokounmpo,4.0
Oct 29,2,Missed 2-pointer from 11 ft,154,291,miss,Giannis Antetokounmpo,11.0
Oct 29,3,Made 2-pointer from 2 ft,66,255,make,Giannis Antetokounmpo,2.0
Oct 29,3,Missed 2-pointer from 2 ft,75,249,miss,Giannis Antetokounmpo,2.0
Oct 29,3,Missed 2-pointer from 13 ft,177,202,miss,Giannis Antetokounmpo,13.0
Oct 29,3,Made 2-pointer from 2 ft,74,250,make,Giannis Antetokounmpo,2.0
Oct 29,3,Made 3-pointer from 28 ft,321,148,make,Giannis Antetokounmpo,28.0
Oct 29,3,Missed 2-pointer from 9 ft,140,243,miss,Giannis Antetokounmpo,9.0
Oct 29,3,Missed 2-pointer from 4 ft,94,249,miss,Giannis Antetokounmpo,4.0
Oct 29,3,Made 2-pointer from 1 ft,56,244,make,Giannis Antetokounmpo,1.0
Oct 29,4,Missed 2-pointer from 16 ft,193,168,miss,Giannis Antetokounmpo,16.0
Oct 29,4,Made 2-pointer from 1 ft,59,233,make,Giannis Antetokounmpo,1.0
