Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 18,1,Made 3-pointer from 24 ft,102,9,make,Jayson Tatum,24.0
Oct 18,1,Made 2-pointer from 0 ft,48,238,make,Jayson Tatum,0.0
Oct 18,1,Missed 3-pointer from 26 ft,271,101,miss,Jayson Tatum,26.0
Oct 18,2,Missed 2-pointer from 22 ft,213,96,miss,Jayson Tatum,22.0
Oct 18,2,Made 2-pointer from 11 ft,158,213,make,Jayson Tatum,11.0
Oct 18,2,Missed 3-pointer from 26 ft,263,87,miss,Jayson Tatum,26.0
Oct 18,2,Missed 3-pointer from 26 ft,249,403,miss,Jayson Tatum,26.0
Oct 18,2,Made 2-pointer from 1 ft,61,237,make,Jayson Tatum,1.0
Oct 18,2,Made 2-pointer from 1 ft,58,237,make,Jayson Tatum,1.0
Oct 18,3,Missed 2-pointer from 7 ft,120,258,miss,Jayson Tatum,7.0
Oct 18,3,Made 2-pointer from 13 ft,74,116,make,Jayson Tatum,13.0
Oct 18,3,Made 2-pointer from 18 ft,184,367,make,Jayson Tatum,18.0
Oct 18,3,Made 2-pointer from 3 ft,84,249,make,Jayson Tatum,3.0
Oct 18,3,Made 2-pointer from 18 ft,115,75,make,Jayson Tatum,18.0
Oct 18,3,Made 2-pointer from 3 ft,79,247,make,Jayson Tatum,3.0
Oct 18,3,Made 3-pointer from 26 ft,295,343,make,Jayson Tatum,26.0
Oct 18,3,Made 2-pointer from 18 ft,174,103,make,Jayson Tatum,18.0
Oct 18,3,Missed 3-pointer from 25 ft,123,3,miss,Jayson Tatum,25.0
Oct 18,4,Missed 3-pointer from 25 ft,233,411,miss,Jayson Tatum,25.0
Oct 18,4,Made 2-pointer from 3 ft,77,257,make,Jayson Tatum,3.0
Oct 21,1,Missed 2-pointer from 3 ft,71,222,miss,Jayson Tatum,3.0
Oct 21,1,Missed 3-pointer from 27 ft,263,76,miss,Jayson Tatum,27.0
Oct 21,1,Made 2-pointer from 1 ft,64,232,make,Jayson Tatum,1.0
Oct 21,1,Missed 3-pointer from 26 ft,294,345,miss,Jayson Tatum,26.0
Oct 21,2,Missed 2-pointer from 2 ft,61,261,miss,Jayson Tatum,2.0
Oct 21,2,Made 3-pointer from 26 ft,314,243,make,Jayson Tatum,26.0
Oct 21,2,Missed 3-pointer from 25 ft,216,49,miss,Jayson Tatum,25.0
Oct 21,2,Made 2-pointer from 3 ft,66,213,make,Jayson Tatum,3.0
Oct 21,2,Made 2-pointer from 1 ft,62,242,make,Jayson Tatum,1.0
Oct 21,2,Missed 2-pointer from 19 ft,93,57,miss,Jayson Tatum,19.0
Oct 21,3,Missed 2-pointer from 12 ft,158,189,miss,Jayson Tatum,12.0
Oct 21,3,Made 2-pointer from 2 ft,66,223,make,Jayson Tatum,2.0
Oct 21,3,Made 2-pointer from 5 ft,88,273,make,Jayson Tatum,5.0
Oct 21,3,Made 3-pointer from 27 ft,275,92,make,Jayson Tatum,27.0
Oct 21,3,Missed 3-pointer from 23 ft,53,469,miss,Jayson Tatum,23.0
Oct 21,3,Made 2-pointer from 2 ft,62,258,make,Jayson Tatum,2.0
Oct 21,3,Missed 3-pointer from 26 ft,304,168,miss,Jayson Tatum,26.0
Oct 21,4,Missed 2-pointer from 13 ft,163,178,miss,Jayson Tatum,13.0
Oct 21,4,Missed 2-pointer from 2 ft,74,231,miss,Jayson Tatum,2.0
Oct 21,4,Made 2-pointer from 1 ft,63,237,make,Jayson Tatum,1.0
Oct 21,4,Made 2-pointer from 3 ft,84,233,make,Jayson Tatum,3.0
Oct 21,4,Missed 2-pointer from 5 ft,100,240,miss,Jayson Tatum,5.0
Oct 22,1,Made 2-pointer from 21 ft,263,237,make,Jayson Tatum,21.0
Oct 22,1,Missed 3-pointer from 26 ft,171,468,miss,Jayson Tatum,26.0
Oct 22,1,Made 2-pointer from 1 ft,59,242,make,Jayson Tatum,1.0
Oct 22,1,Made 3-pointer from 25 ft,184,31,make,Jayson Tatum,25.0
Oct 22,1,Made 2-pointer from 2 ft,61,258,make,Jayson Tatum,2.0
Oct 22,1,Made 3-pointer from 26 ft,273,368,make,Jayson Tatum,26.0
Oct 22,1,Made 2-pointer from 2 ft,72,229,make,Jayson Tatum,2.0
Oct 22,1,Missed 3-pointer from 25 ft,298,294,miss,Jayson Tatum,25.0
Oct 22,2,Made 3-pointer from 26 ft,287,119,make,Jayson Tatum,26.0
Oct 22,2,Made 2-pointer from 12 ft,173,233,make,Jayson Tatum,12.0
Oct 22,3,Made 2-pointer from 10 ft,97,154,make,Jayson Tatum,10.0
Oct 22,3,Made 2-pointer from 5 ft,67,192,make,Jayson Tatum,5.0
Oct 22,3,Made 2-pointer from 2 ft,64,228,make,Jayson Tatum,2.0
Oct 22,3,Made 2-pointer from 1 ft,54,231,make,Jayson Tatum,1.0
Oct 22,3,Missed 2-pointer from 3 ft,80,249,miss,Jayson Tatum,3.0
Oct 22,3,Missed 3-pointer from 25 ft,299,187,miss,Jayson Tatum,25.0
Oct 22,3,Missed 3-pointer from 26 ft,311,267,miss,Jayson Tatum,26.0
Oct 22,4,Missed 3-pointer from 27 ft,298,137,miss,Jayson Tatum,27.0
Oct 22,4,Missed 3-pointer from 26 ft,297,161,miss,Jayson Tatum,26.0
Oct 22,4,Made 2-pointer from 12 ft,157,293,make,Jayson Tatum,12.0
Oct 22,4,Made 3-pointer from 26 ft,308,285,make,Jayson Tatum,26.0
Oct 24,1,Made 2-pointer from 3 ft,75,258,make,Jayson Tatum,3.0
Oct 24,1,Made 2-pointer from 1 ft,64,243,make,Jayson Tatum,1.0
Oct 24,1,Missed 2-pointer from 16 ft,130,380,miss,Jayson Tatum,16.0
Oct 24,1,Made 2-pointer from 2 ft,64,250,make,Jayson Tatum,2.0
Oct 24,1,Made 3-pointer from 24 ft,266,357,make,Jayson Tatum,24.0
Oct 24,1,Made 3-pointer from 25 ft,261,98,make,Jayson Tatum,25.0
Oct 24,2,Missed 3-pointer from 26 ft,287,351,miss,Jayson Tatum,26.0
Oct 24,2,Missed 2-pointer from 17 ft,56,70,miss,Jayson Tatum,17.0
Oct 24,2,Missed 3-pointer from 27 ft,318,268,miss,Jayson Tatum,27.0
Oct 24,2,Missed 2-pointer from 1 ft,61,248,miss,Jayson Tatum,1.0
Oct 24,2,Missed 3-pointer from 25 ft,141,472,miss,Jayson Tatum,25.0
Oct 24,3,Missed 2-pointer from 2 ft,74,232,miss,Jayson Tatum,2.0
Oct 24,3,Made 3-pointer from 26 ft,300,334,make,Jayson Tatum,26.0
Oct 24,3,Missed 2-pointer from 7 ft,105,288,miss,Jayson Tatum,7.0
