Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 29,1,Missed 2-pointer from 16 ft,155,123,miss,Kobe Bryant,16.0
Oct 29,1,Made 2-pointer from 15 ft,139,120,make,Kobe Bryant,15.0
Oct 29,1,Missed 2-pointer from 9 ft,127,281,miss,Kobe Bryant,9.0
Oct 29,1,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,1,Missed 2-pointer from 6 ft,101,278,miss,Kobe Bryant,6.0
Oct 29,1,Missed 2-pointer from 15 ft,80,95,miss,Kobe Bryant,15.0
Oct 29,1,Made 2-pointer from 0 ft,50,240,make,Kobe Bryant,0.0
Oct 29,1,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,1,Made 2-pointer from 6 ft,50,178,make,Kobe Bryant,6.0
Oct 29,1,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,2,Missed 2-pointer from 18 ft,229,279,miss,Kobe Bryant,18.0
Oct 29,2,Missed 2-pointer from 6 ft,113,225,miss,Kobe Bryant,6.0
Oct 29,2,Made 2-pointer from 17 ft,152,370,make,Kobe Bryant,17.0
Oct 29,2,Made 2-pointer from 4 ft,86,215,make,Kobe Bryant,4.0
Oct 29,2,Missed 2-pointer from 9 ft,86,325,miss,Kobe Bryant,9.0
Oct 29,3,Missed 2-pointer from 7 ft,68,174,miss,Kobe Bryant,7.0
Oct 29,3,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,3,Missed 2-pointer from 10 ft,132,304,miss,Kobe Bryant,10.0
Oct 29,3,Made 2-pointer from 16 ft,206,278,make,Kobe Bryant,16.0
Oct 29,3,Missed 2-pointer from 23 ft,219,87,miss,Kobe Bryant,23.0
Oct 29,3,Made 2-pointer from 0 ft,50,240,make,Kobe Bryant,0.0
Oct 29,3,Made 2-pointer from 20 ft,228,322,make,Kobe Bryant,20.0
Oct 29,4,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,4,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,4,Missed 2-pointer from 8 ft,103,294,miss,Kobe Bryant,8.0
Oct 29,4,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,4,Missed 3-pointer from 25 ft,239,407,miss,Kobe Bryant,25.0
Oct 29,4,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 29,4,Made 3-pointer from 26 ft,193,18,make,Kobe Bryant,26.0
Oct 30,1,Missed 2-pointer from 0 ft,50,240,miss,Kobe Bryant,0.0
Oct 30,1,Made 2-pointer from 15 ft,182,306,make,Kobe Bryant,15.0
Oct 30,1,Missed 2-pointer from 17 ft,50,414,miss,Kobe Bryant,17.0
Oct 30,1,Made 3-pointer from 25 ft,292,289,make,Kobe Bryant,25.0
