Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 29,1,Made 2-pointer from 16 ft,39,396,make,Tracy McGrady,16.0
Oct 29,1,Made 2-pointer from 17 ft,216,232,make,Tracy McGrady,17.0
Oct 29,1,Missed 2-pointer from 15 ft,41,393,miss,Tracy McGrady,15.0
Oct 29,1,Made 2-pointer from 0 ft,50,240,make,Tracy McGrady,0.0
Oct 29,1,Made 2-pointer from 14 ft,73,97,make,Tracy McGrady,14.0
Oct 29,1,Missed 3-pointer from 24 ft,246,384,miss,Tracy McGrady,24.0
Oct 29,2,Missed 2-pointer from 16 ft,42,404,miss,Tracy McGrady,16.0
Oct 29,2,Missed 2-pointer from 0 ft,50,240,miss,Tracy McGrady,0.0
Oct 29,2,Made 3-pointer from 24 ft,293,211,make,Tracy McGrady,24.0
Oct 29,2,Made 2-pointer from 19 ft,93,421,make,Tracy McGrady,19.0
Oct 29,2,Missed 2-pointer from 18 ft,145,396,miss,Tracy McGrady,18.0
Oct 29,2,Missed 2-pointer from 18 ft,103,68,miss,Tracy McGrady,18.0
Oct 29,3,Made 2-pointer from 0 ft,50,240,make,Tracy McGrady,0.0
Oct 29,3,Made 3-pointer from 24 ft,170,30,make,Tracy McGrady,24.0
Oct 29,3,Made 2-pointer from 17 ft,34,74,make,Tracy McGrady,17.0
Oct 29,3,Missed 3-pointer from 25 ft,239,398,miss,Tracy McGrady,25.0
Oct 29,4,Made 2-pointer from 0 ft,50,240,make,Tracy McGrady,0.0
Oct 29,4,Missed 2-pointer from 9 ft,101,166,miss,Tracy McGrady,9.0
Oct 29,4,Made 2-pointer from 0 ft,50,240,make,Tracy McGrady,0.0
Oct 29,4,Missed 3-pointer from 25 ft,298,253,miss,Tracy McGrady,25.0
Oct 29,4,Made 2-pointer from 19 ft,108,59,make,Tracy McGrady,19.0
Oct 29,4,Missed 2-pointer from 21 ft,256,268,miss,Tracy McGrady,21.0
Oct 29,4,Made 2-pointer from 18 ft,85,68,make,Tracy McGrady,18.0
Oct 29,4,Missed 2-pointer from 18 ft,113,407,miss,Tracy McGrady,18.0
Oct 30,1,Missed 2-pointer from 17 ft,187,132,miss,Tracy McGrady,17.0
Oct 30,1,Made 2-pointer from 6 ft,55,183,make,Tracy McGrady,6.0
Oct 30,1,Made 2-pointer from 0 ft,50,240,make,Tracy McGrady,0.0
Oct 30,1,Made 3-pointer from 25 ft,234,66,make,Tracy McGrady,25.0
