Date,Quarter,Action,Top,Left,Result,Player,Distance (ft)
Oct 19,1,Missed 2-pointer from 14 ft,66,101,miss,Shai Gilgeous-Alexander,14.0
Oct 19,1,Missed 3-pointer from 25 ft,292,156,miss,Shai Gilgeous-Alexander,25.0
Oct 19,1,Missed 2-pointer from 2 ft,71,252,miss,Shai Gilgeous-Alexander,2.0
Oct 19,1,Missed 2-pointer from 7 ft,118,252,miss,Shai Gilgeous-Alexander,7.0
Oct 19,1,Made 2-pointer from 3 ft,71,258,make,Shai Gilgeous-Alexander,3.0
Oct 19,1,Missed 3-pointer from 24 ft,254,377,miss,Shai Gilgeous-Alexander,24.0
Oct 19,1,Made 2-pointer from 1 ft,57,231,make,Shai Gilgeous-Alexander,1.0
Oct 19,1,Missed 2-pointer from 7 ft,112,200,miss,Shai Gilgeous-Alexander,7.0
Oct 19,2,Missed 2-pointer from 2 ft,67,228,miss,Shai Gilgeous-Alexander,2.0
Oct 19,2,Made 2-pointer from 0 ft,53,240,make,Shai Gilgeous-Alexander,0.0
Oct 19,2,Made 3-pointer from 23 ft,35,466,make,Shai Gilgeous-Alexander,23.0
Oct 19,3,Made 2-pointer from 2 ft,63,255,make,Shai Gilgeous-Alexander,2.0
Oct 19,3,Missed 2-pointer from 16 ft,166,122,miss,Shai Gilgeous-Alexander,16.0
Oct 19,3,Missed 3-pointer from 23 ft,87,464,miss,Shai Gilgeous-Alexander,23.0
Oct 19,3,Made 2-pointer from 1 ft,64,235,make,Shai Gilgeous-Alexander,1.0
Oct 19,3,Made 2-pointer from 2 ft,63,223,make,Shai Gilgeous-Alexander,2.0
Oct 19,3,Made 2-pointer from 14 ft,75,100,make,Shai Gilgeous-Alexander,14.0
Oct 19,3,Made 2-pointer from 13 ft,177,264,make,Shai Gilgeous-Alexander,13.0
Oct 19,4,Made 2-pointer from 2 ft,70,241,make,Shai Gilgeous-Alexander,2.0
Oct 19,4,Made 3-pointer from 25 ft,200,436,make,Shai Gilgeous-Alexander,25.0
Oct 19,4,Missed 2-pointer from 16 ft,208,242,miss,Shai Gilgeous-Alexander,16.0
Oct 19,4,Missed 3-pointer from 25 ft,183,29,miss,Shai Gilgeous-Alexander,25.0
Oct 19,4,Made 2-pointer from 2 ft,75,232,make,Shai Gilgeous-Alexander,2.0
Oct 22,1,Missed 3-pointer from 26 ft,266,387,miss,Shai Gilgeous-Alexander,26.0
Oct 22,1,Made 3-pointer from 26 ft,259,77,make,Shai Gilgeous-Alexander,26.0
Oct 22,1,Missed 2-pointer from 13 ft,38,116,miss,Shai Gilgeous-Alexander,13.0
Oct 22,1,Missed 2-pointer from 15 ft,139,112,miss,Shai Gilgeous-Alexander,15.0
Oct 22,1,Made 2-pointer from 3 ft,59,212,make,Shai Gilgeous-Alexander,3.0
Oct 22,1,Missed 2-pointer from 11 ft,167,248,miss,Shai Gilgeous-Alexander,11.0
Oct 22,1,Missed 2-pointer from 4 ft,83,212,miss,Shai Gilgeous-Alexander,4.0
Oct 22,1,Made 2-pointer from 4 ft,88,232,make,Shai Gilgeous-Alexander,4.0
Oct 22,1,Made 2-pointer from 3 ft,75,267,make,Shai Gilgeous-Alexander,3.0
Oct 22,2,Made 2-pointer from 3 ft,70,268,make,Shai Gilgeous-Alexander,3.0
Oct 22,2,Missed 2-pointer from 6 ft,110,232,miss,Shai Gilgeous-Alexander,6.0
Oct 22,2,Missed 2-pointer from 8 ft,128,209,miss,Shai Gilgeous-Alexander,8.0
Oct 22,2,Made 2-pointer from 3 ft,62,209,make,Shai Gilgeous-Alexander,3.0
Oct 22,3,Made 2-pointer from 3 ft,66,268,make,Shai Gilgeous-Alexander,3.0
Oct 22,3,Missed 2-pointer from 16 ft,200,180,miss,Shai Gilgeous-Alexander,16.0
Oct 22,3,Missed 2-pointer from 14 ft,140,132,miss,Shai Gilgeous-Alexander,14.0
Oct 22,3,Made 2-pointer from 3 ft,82,237,make,Shai Gilgeous-Alexander,3.0
Oct 22,3,Made 2-pointer from 12 ft,78,357,make,Shai Gilgeous-Alexander,12.0
Oct 22,4,Made 2-pointer from 8 ft,51,317,make,Shai Gilgeous-Alexander,8.0
Oct 22,4,Made 2-pointer from 10 ft,146,270,make,Shai Gilgeous-Alexander,10.0
Oct 22,4,Missed 3-pointer from 27 ft,281,91,miss,Shai Gilgeous-Alexander,27.0
Oct 22,4,Missed 2-pointer from 6 ft,83,190,miss,Shai Gilgeous-Alexander,6.0
Oct 22,4,Missed 3-pointer from 28 ft,251,48,miss,Shai Gilgeous-Alexander,28.0
Oct 22,4,Missed 3-pointer from 25 ft,257,101,miss,Shai Gilgeous-Alexander,25.0
Oct 25,1,Made 2-pointer from 16 ft,216,222,make,Shai Gilgeous-Alexander,16.0
Oct 25,1,Missed 2-pointer from 3 ft,84,227,miss,Shai Gilgeous-Alexander,3.0
Oct 25,1,Made 2-pointer from 15 ft,190,172,make,Shai Gilgeous-Alexander,15.0
Oct 25,1,Made 2-pointer from 12 ft,100,129,make,Shai Gilgeous-Alexander,12.0
Oct 25,1,Missed 2-pointer from 3 ft,63,266,miss,Shai Gilgeous-Alexander,3.0
Oct 25,1,Missed 2-pointer from 3 ft,75,226,miss,Shai Gilgeous-Alexander,3.0
Oct 25,1,Made 2-pointer from 3 ft,63,217,make,Shai Gilgeous-Alexander,3.0
Oct 25,1,Made 2-pointer from 17 ft,203,169,make,Shai Gilgeous-Alexander,17.0
Oct 25,1,Missed 2-pointer from 8 ft,85,318,miss,Shai Gilgeous-Alexander,8.0
Oct 25,1,Missed 2-pointer from 8 ft,128,253,miss,Shai Gilgeous-Alexander,8.0
Oct 25,2,Missed 2-pointer from 16 ft,192,328,miss,Shai Gilgeous-Alexander,16.0
Oct 25,2,Missed 2-pointer from 19 ft,113,416,miss,Shai Gilgeous-Alexander,19.0
Oct 25,2,Made 2-pointer from 12 ft,152,313,make,Shai Gilgeous-Alexander,12.0
Oct 25,3,Missed 2-pointer from 3 ft,51,215,miss,Shai Gilgeous-Alexander,3.0
Oct 25,3,Missed 2-pointer from 2 ft,56,221,miss,Shai Gilgeous-Alexander,2.0
Oct 25,3,Made 2-pointer from 9 ft,138,256,make,Shai Gilgeous-Alexander,9.0
Oct 25,3,Made 2-pointer from 0 ft,52,240,make,Shai Gilgeous-Alexander,0.0
Oct 25,3,Made 2-pointer from 6 ft,78,298,make,Shai Gilgeous-Alexander,6.0
Oct 25,3,Missed 2-pointer from 11 ft,152,286,miss,Shai Gilgeous-Alexander,11.0
Oct 25,3,Made 3-pointer from 27 ft,323,244,make,Shai Gilgeous-Alexander,27.0
Oct 25,4,Missed 2-pointer from 9 ft,128,291,miss,Shai Gilgeous-Alexander,9.0
Oct 25,4,Made 3-pointer from 23 ft,32,10,make,Shai Gilgeous-Alexander,23.0
Oct 27,1,Made 2-pointer from 7 ft,105,284,make,Shai Gilgeous-Alexander,7.0
Oct 27,1,Made 2-pointer from 3 ft,72,212,make,Shai Gilgeous-Alexander,3.0
Oct 27,1,Missed 3-pointer from 29 ft,297,83,miss,Shai Gilgeous-Alexander,29.0
Oct 27,1,Missed 2-pointer from 4 ft,69,280,miss,Shai Gilgeous-Alexander,4.0
Oct 27,1,Missed 2-pointer from 6 ft,92,197,miss,Shai Gilgeous-Alexander,6.0
Oct 27,1,Missed 2-pointer from 3 ft,75,217,miss,Shai Gilgeous-Alexander,3.0
Oct 27,1,Missed 2-pointer from 13 ft,171,283,miss,Shai Gilgeous-Alexander,13.0
Oct 27,1,Made 3-pointer from 28 ft,295,372,make,Shai Gilgeous-Alexander,28.0
Oct 27,2,Missed 2-pointer from 6 ft,104,213,miss,Shai Gilgeous-Alexander,6.0
Oct 27,2,Made 2-pointer from 19 ft,209,125,make,Shai Gilgeous-Alexander,19.0
Oct 27,2,Missed 2-pointer from 17 ft,203,163,miss,Shai Gilgeous-Alexander,17.0
Oct 27,2,Missed 2-pointer from 7 ft,113,283,miss,Shai Gilgeous-Alexander,7.0
Oct 27,3,Made 2-pointer from 3 ft,82,228,make,Shai Gilgeous-Alexander,3.0
Oct 27,3,Made 3-pointer from 25 ft,179,19,make,Shai Gilgeous-Alexander,25.0
Oct 27,3,Made 2-pointer from 4 ft,77,270,make,Shai Gilgeous-Alexander,4.0
Oct 27,3,Missed 2-pointer from 4 ft,84,267,miss,Shai Gilgeous-Alexander,4.0
Oct 27,3,Missed 2-pointer from 6 ft,82,293,miss,Shai Gilgeous-Alexander,6.0
Oct 27,4,Missed 3-pointer from 28 ft,305,366,miss,Shai Gilgeous-Alexander,28.0
Oct 27,4,Made 2-pointer from 4 ft,89,237,make,Shai Gilgeous-Alexander,4.0
Oct 27,4,Made 2-pointer from 3 ft,70,267,make,Shai Gilgeous-Alexander,3.0
Oct 27,4,Missed 2-pointer from 10 ft,146,196,miss,Shai Gilgeous-Alexander,10.0
Oct 27,4,Made 2-pointer from 10 ft,130,183,make,Shai Gilgeous-Alexander,10.0
Oct 27,4,Missed 2-pointer from 3 ft,62,215,miss,Shai Gilgeous-Alexander,3.0
Oct 29,1,Made 2-pointer from 2 ft,51,223,make,Shai Gilgeous-Alexander,2.0
Oct 29,1,Made 2-pointer from 7 ft,116,214,make,Shai Gilgeous-Alexander,7.0
Oct 29,1,Missed 2-pointer from 7 ft,120,244,miss,Shai Gilgeous-Alexander,7.0
Oct 29,1,Missed 2-pointer from 12 ft,164,270,miss,Shai Gilgeous-Alexander,12.0
Oct 29,1,Missed 2-pointer from 5 ft,88,272,miss,Shai Gilgeous-Alexander,5.0
Oct 29,1,Missed 3-pointer from 26 ft,254,400,miss,Shai Gilgeous-Alexander,26.0
Oct 29,1,Made 2-pointer from 12 ft,158,291,make,Shai Gilgeous-Alexander,12.0
Oct 29,2,Made 2-pointer from 14 ft,113,119,make,Shai Gilgeous-Alexander,14.0
Oct 29,2,Missed 2-pointer from 10 ft,157,231,miss,Shai Gilgeous-Alexander,10.0
Oct 29,2,Missed 2-pointer from 9 ft,141,268,miss,Shai Gilgeous-Alexander,9.0
